clients,threads,pipeline,throughput,avg_latency,p99,p999,pareto
1,4,1,136632.84,0.02861,0.047,0.055,True
1,4,10,483625.62,0.07743,0.159,0.199,True
1,4,50,660226.2,0.28674,0.663,0.927,True
1,4,100,867449.31,0.44966,1.159,1.527,True
1,8,1,133032.34,0.05946,0.095,0.119,False
1,8,10,510510.15,0.15175,0.263,0.335,True
1,8,50,750852.19,0.51908,1.247,1.967,False
1,8,100,951356.9,0.8265,2.111,2.943,True
4,4,1,83990.48,0.19059,0.287,2.639,False
4,4,50,187988.23,4.24699,7.839,9.855,False
4,4,100,186924.11,8.55239,12.479,14.975,False
6,4,1,86684.16,0.277,0.415,2.767,False
6,4,50,181997.65,6.58562,14.591,18.687,False
6,4,100,189476.01,12.65832,17.407,23.679,False
10,4,1,88963.4,0.4497,2.831,2.991,False
10,4,50,193108.73,10.52469,16.255,23.551,False
10,4,100,190617.57,20.97513,29.311,34.815,False
16,4,1,183776.7,0.34812,0.575,0.719,False
16,4,10,695260.05,0.91717,1.495,2.143,False
16,4,50,1178180.51,2.7074,5.375,7.583,True
16,4,100,1236780.68,5.16491,8.319,14.591,True
16,8,1,168193.4,0.76068,1.183,1.583,False
16,8,10,717857.49,1.8084,3.055,3.775,False
16,8,50,1169326.89,5.4592,10.559,11.903,False
16,8,100,1175372.0,11.05473,17.535,23.807,False
32,4,1,188843.01,0.6778,1.191,1.263,False
32,4,10,752710.44,1.69718,2.751,4.159,False
32,4,50,1211765.19,5.27241,10.687,12.031,False
32,4,100,1249710.21,10.23284,16.767,22.399,True
32,8,1,162487.08,1.57493,2.415,3.871,False
32,8,10,732617.56,3.48718,5.343,8.127,False
32,8,50,1133192.77,11.276,21.503,23.807,False
32,8,100,1167166.28,21.91188,33.791,43.007,False
64,4,1,187860.92,1.36256,2.287,4.063,False
64,4,10,839660.8,3.04554,4.959,7.551,False
64,4,50,1194148.11,10.70825,21.247,24.319,False
64,4,100,1196952.57,21.37305,33.535,42.239,False
64,8,1,163486.68,3.13087,4.671,11.583,False
64,8,10,749947.58,6.81897,11.391,18.943,False
64,8,50,1078360.15,23.71847,46.079,52.223,False
64,8,100,1092115.77,46.84841,72.703,91.647,False
128,4,1,193437.11,2.64668,4.287,10.879,False
128,4,10,170083.05,30.09538,38.399,55.807,False
128,4,50,185565.82,137.866,210.943,223.231,False
128,8,1,84771.76,12.08416,27.519,54.271,False
128,8,10,164024.19,63.30983,71.167,96.767,False
256,4,1,88369.16,11.58676,18.815,29.439,False
256,4,10,158581.22,64.56403,93.183,120.319,False
256,4,50,187118.15,273.50272,421.887,456.703,False
256,8,1,85180.99,24.03695,35.839,46.079,False
256,8,10,165859.17,123.46316,146.431,209.919,False
256,8,50,180449.57,571.78111,860.159,901.119,False
